latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
47.88726,-102.86732,298.55,0.77,0.77,2026-08-30,0739,N20,nominal,2.0NRT,285.68,2.46,N
47.88523,-102.86436,300.37,0.77,0.77,2026-08-30,0739,N20,nominal,2.0NRT,285.87,1.6,N
34.63284,-98.70469,315.53,0.39,0.6,2026-08-30,0744,N20,nominal,2.0NRT,295.12,2.55,N
43.76586,-95.98528,321.57,0.34,0.56,2026-08-30,0741,N20,nominal,2.0NRT,288.35,1.37,N
34.63316,-98.70637,306.4,0.39,0.6,2026-08-30,0744,N20,nominal,2.0NRT,294.99,2.04,N
39.93834,-76.81506,304.99,0.5,0.49,2026-08-30,0741,N20,nominal,2.0NRT,288.1,1.7,N
34.63288,-98.70197,309.56,0.39,0.6,2026-08-30,0744,N20,nominal,2.0NRT,294.92,1.45,N
39.43246,-77.97539,295.05,0.45,0.47,2026-08-30,0741,N20,nominal,2.0NRT,284.03,0.37,N
33.2208,-86.81409,318.29,0.39,0.36,2026-08-30,0744,N20,nominal,2.0NRT,294.07,1.95,N
41.48506,-90.82608,306.36,0.54,0.42,2026-08-30,0741,N20,nominal,2.0NRT,289.23,1.65,N
33.21672,-86.78942,309.58,0.39,0.36,2026-08-30,0744,N20,nominal,2.0NRT,293.71,1.23,N
41.48188,-90.83324,315.88,0.54,0.42,2026-08-30,0741,N20,nominal,2.0NRT,288.45,1.65,N
33.7026,-90.03363,306.51,0.42,0.38,2026-08-30,0744,N20,nominal,2.0NRT,292.49,0.82,N
33.18097,-86.7593,311.92,0.39,0.36,2026-08-30,0744,N20,nominal,2.0NRT,293.29,1.07,N
33.18029,-86.75519,307.68,0.39,0.36,2026-08-30,0744,N20,nominal,2.0NRT,294.08,1.07,N
33.44949,-88.57005,306.54,0.39,0.36,2026-08-30,0744,N20,nominal,2.0NRT,294.53,1.47,N
33.44743,-88.57907,313.71,0.39,0.36,2026-08-30,0744,N20,nominal,2.0NRT,294.39,1.62,N
33.43957,-88.57218,330.97,0.39,0.36,2026-08-30,0744,N20,nominal,2.0NRT,294.1,2.96,N
33.23715,-87.50505,328.19,0.38,0.36,2026-08-30,0744,N20,nominal,2.0NRT,294.25,1.78,N
33.23452,-87.50986,310.97,0.38,0.36,2026-08-30,0744,N20,nominal,2.0NRT,294.27,1.78,N
33.23189,-87.51469,314.88,0.38,0.36,2026-08-30,0744,N20,nominal,2.0NRT,293.44,1.39,N
33.23124,-87.51061,312.65,0.38,0.36,2026-08-30,0744,N20,nominal,2.0NRT,293.74,1.28,N
33.10595,-86.80136,307.65,0.39,0.36,2026-08-30,0744,N20,nominal,2.0NRT,293.63,1.03,N
33.09278,-86.80443,333.24,0.39,0.36,2026-08-30,0744,N20,nominal,2.0NRT,296.14,3.8,N
32.97939,-86.34839,312.51,0.39,0.37,2026-08-30,0744,N20,nominal,2.0NRT,293.92,1.73,N
19.6011,-92.29505,317.98,0.39,0.36,2026-08-30,0748,N20,nominal,2.0NRT,277.59,2.15,N
32.06417,-82.0209,303.19,0.39,0.44,2026-08-30,0744,N20,nominal,2.0NRT,286.32,0.61,N
33.97097,-94.6184,315.71,0.45,0.47,2026-08-30,0744,N20,nominal,2.0NRT,293.45,1.65,N
19.443,-92.03776,325.67,0.39,0.36,2026-08-30,0748,N20,nominal,2.0NRT,276.37,2.53,N
33.27504,-90.20535,315.67,0.42,0.38,2026-08-30,0744,N20,nominal,2.0NRT,293.94,1.4,N
19.447,-92.08602,330.93,0.39,0.36,2026-08-30,0748,N20,nominal,2.0NRT,280.04,3.92,N
32.62205,-86.17637,328.75,0.4,0.37,2026-08-30,0744,N20,nominal,2.0NRT,293.04,1.65,N
19.44757,-92.0897,307.7,0.39,0.36,2026-08-30,0748,N20,nominal,2.0NRT,277.71,2.55,N
19.43969,-92.03832,305.74,0.39,0.36,2026-08-30,0748,N20,nominal,2.0NRT,274.21,2.13,N
32.10097,-84.1855,304.5,0.47,0.39,2026-08-30,0744,N20,nominal,2.0NRT,290.82,0.73,N
19.43913,-92.03465,314.28,0.39,0.36,2026-08-30,0748,N20,nominal,2.0NRT,271.8,0.97,N
32.93116,-89.22623,318.91,0.4,0.37,2026-08-30,0744,N20,nominal,2.0NRT,292.1,1.98,N
